Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	01 Andalucía	Total	2023T4	56,96
Ambos sexos	01 Andalucía	Total	2023T3	57,67
Ambos sexos	01 Andalucía	Total	2023T2	57,51
Ambos sexos	01 Andalucía	Total	2023T1	56,93
Ambos sexos	01 Andalucía	Total	2022T4	56,4
Ambos sexos	01 Andalucía	Total	2022T3	56,93
Ambos sexos	01 Andalucía	Total	2022T2	56,8
Ambos sexos	01 Andalucía	Total	2022T1	56,39
Ambos sexos	01 Andalucía	Total	2021T4	57,55
Ambos sexos	01 Andalucía	Total	2021T3	57,43
Ambos sexos	01 Andalucía	Total	2021T2	57,09
Ambos sexos	01 Andalucía	Total	2021T1	56,02
Ambos sexos	01 Andalucía	Menores de 25 años	2023T4	33,36
Ambos sexos	01 Andalucía	Menores de 25 años	2023T3	38,65
Ambos sexos	01 Andalucía	Menores de 25 años	2023T2	35,67
Ambos sexos	01 Andalucía	Menores de 25 años	2023T1	30,6
Ambos sexos	01 Andalucía	Menores de 25 años	2022T4	31,65
Ambos sexos	01 Andalucía	Menores de 25 años	2022T3	34,68
Ambos sexos	01 Andalucía	Menores de 25 años	2022T2	33,48
Ambos sexos	01 Andalucía	Menores de 25 años	2022T1	31
Ambos sexos	01 Andalucía	Menores de 25 años	2021T4	31,65
Ambos sexos	01 Andalucía	Menores de 25 años	2021T3	36,99
Ambos sexos	01 Andalucía	Menores de 25 años	2021T2	34,22
Ambos sexos	01 Andalucía	Menores de 25 años	2021T1	29,46
Ambos sexos	01 Andalucía	25 y más años	2023T4	60,19
Ambos sexos	01 Andalucía	25 y más años	2023T3	60,24
Ambos sexos	01 Andalucía	25 y más años	2023T2	60,45
Ambos sexos	01 Andalucía	25 y más años	2023T1	60,48
Ambos sexos	01 Andalucía	25 y más años	2022T4	59,75
Ambos sexos	01 Andalucía	25 y más años	2022T3	59,91
Ambos sexos	01 Andalucía	25 y más años	2022T2	59,93
Ambos sexos	01 Andalucía	25 y más años	2022T1	59,77
Ambos sexos	01 Andalucía	25 y más años	2021T4	61,01
Ambos sexos	01 Andalucía	25 y más años	2021T3	60,16
Ambos sexos	01 Andalucía	25 y más años	2021T2	60,1
Ambos sexos	01 Andalucía	25 y más años	2021T1	59,47
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T4	12,8
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T3	16,16
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T2	14,25
Ambos sexos	01 Andalucía	De 16 a 19 años	2023T1	11,55
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T4	12,74
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T3	12,89
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T2	12,35
Ambos sexos	01 Andalucía	De 16 a 19 años	2022T1	10,03
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T4	11,28
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T3	13,65
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T2	12,66
Ambos sexos	01 Andalucía	De 16 a 19 años	2021T1	8,77
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T4	50,65
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T3	57,24
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T2	53,22
Ambos sexos	01 Andalucía	De 20 a 24 años	2023T1	46,44
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T4	47,57
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T3	52,78
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T2	51,19
Ambos sexos	01 Andalucía	De 20 a 24 años	2022T1	48,39
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T4	48,72
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T3	56,54
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T2	51,81
Ambos sexos	01 Andalucía	De 20 a 24 años	2021T1	45,91
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T4	85,24
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T3	84,96
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T2	85,38
Ambos sexos	01 Andalucía	De 25 a 54 años	2023T1	85,65
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T4	84,51
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T3	84,49
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T2	84,42
Ambos sexos	01 Andalucía	De 25 a 54 años	2022T1	84,19
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T4	85,39
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T3	84,15
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T2	84,35
Ambos sexos	01 Andalucía	De 25 a 54 años	2021T1	83,35
Ambos sexos	01 Andalucía	55 y más años	2023T4	28,51
Ambos sexos	01 Andalucía	55 y más años	2023T3	28,74
Ambos sexos	01 Andalucía	55 y más años	2023T2	28,43
Ambos sexos	01 Andalucía	55 y más años	2023T1	27,94
Ambos sexos	01 Andalucía	55 y más años	2022T4	27,52
Ambos sexos	01 Andalucía	55 y más años	2022T3	27,72
Ambos sexos	01 Andalucía	55 y más años	2022T2	27,65
Ambos sexos	01 Andalucía	55 y más años	2022T1	27,37
Ambos sexos	01 Andalucía	55 y más años	2021T4	28,38
Ambos sexos	01 Andalucía	55 y más años	2021T3	27,78
Ambos sexos	01 Andalucía	55 y más años	2021T2	27,06
Ambos sexos	01 Andalucía	55 y más años	2021T1	26,67
Ambos sexos	02 Aragón	Total	2023T4	59,15
Ambos sexos	02 Aragón	Total	2023T3	58,19
Ambos sexos	02 Aragón	Total	2023T2	58,71
Ambos sexos	02 Aragón	Total	2023T1	58,6
Ambos sexos	02 Aragón	Total	2022T4	58,41
Ambos sexos	02 Aragón	Total	2022T3	58,63
Ambos sexos	02 Aragón	Total	2022T2	58,91
Ambos sexos	02 Aragón	Total	2022T1	59,24
Ambos sexos	02 Aragón	Total	2021T4	58,84
Ambos sexos	02 Aragón	Total	2021T3	58,94
Ambos sexos	02 Aragón	Total	2021T2	58,42
Ambos sexos	02 Aragón	Total	2021T1	58,16
Ambos sexos	02 Aragón	Menores de 25 años	2023T4	36,37
Ambos sexos	02 Aragón	Menores de 25 años	2023T3	38,2
Ambos sexos	02 Aragón	Menores de 25 años	2023T2	35,22
Ambos sexos	02 Aragón	Menores de 25 años	2023T1	32,26
Ambos sexos	02 Aragón	Menores de 25 años	2022T4	33,11
Ambos sexos	02 Aragón	Menores de 25 años	2022T3	39,85
Ambos sexos	02 Aragón	Menores de 25 años	2022T2	35,89
Ambos sexos	02 Aragón	Menores de 25 años	2022T1	38
Ambos sexos	02 Aragón	Menores de 25 años	2021T4	35,49
Ambos sexos	02 Aragón	Menores de 25 años	2021T3	37,51
Ambos sexos	02 Aragón	Menores de 25 años	2021T2	35
Ambos sexos	02 Aragón	Menores de 25 años	2021T1	35,24
Ambos sexos	02 Aragón	25 y más años	2023T4	61,97
Ambos sexos	02 Aragón	25 y más años	2023T3	60,62
Ambos sexos	02 Aragón	25 y más años	2023T2	61,56
Ambos sexos	02 Aragón	25 y más años	2023T1	61,88
Ambos sexos	02 Aragón	25 y más años	2022T4	61,52
Ambos sexos	02 Aragón	25 y más años	2022T3	60,86
Ambos sexos	02 Aragón	25 y más años	2022T2	61,71
Ambos sexos	02 Aragón	25 y más años	2022T1	61,79
Ambos sexos	02 Aragón	25 y más años	2021T4	61,66
Ambos sexos	02 Aragón	25 y más años	2021T3	61,45
Ambos sexos	02 Aragón	25 y más años	2021T2	61,14
Ambos sexos	02 Aragón	25 y más años	2021T1	60,79
Ambos sexos	02 Aragón	De 16 a 19 años	2023T4	11,55
Ambos sexos	02 Aragón	De 16 a 19 años	2023T3	15,82
Ambos sexos	02 Aragón	De 16 a 19 años	2023T2	12,2
Ambos sexos	02 Aragón	De 16 a 19 años	2023T1	10,33
Ambos sexos	02 Aragón	De 16 a 19 años	2022T4	15,54
Ambos sexos	02 Aragón	De 16 a 19 años	2022T3	19,22
Ambos sexos	02 Aragón	De 16 a 19 años	2022T2	18,39
Ambos sexos	02 Aragón	De 16 a 19 años	2022T1	16,52
Ambos sexos	02 Aragón	De 16 a 19 años	2021T4	11,99
Ambos sexos	02 Aragón	De 16 a 19 años	2021T3	15,96
Ambos sexos	02 Aragón	De 16 a 19 años	2021T2	13,87
Ambos sexos	02 Aragón	De 16 a 19 años	2021T1	10,98
Ambos sexos	02 Aragón	De 20 a 24 años	2023T4	56,55
Ambos sexos	02 Aragón	De 20 a 24 años	2023T3	56,07
Ambos sexos	02 Aragón	De 20 a 24 años	2023T2	53,84
Ambos sexos	02 Aragón	De 20 a 24 años	2023T1	51,11
Ambos sexos	02 Aragón	De 20 a 24 años	2022T4	48,19
Ambos sexos	02 Aragón	De 20 a 24 años	2022T3	56,41
Ambos sexos	02 Aragón	De 20 a 24 años	2022T2	51,12
Ambos sexos	02 Aragón	De 20 a 24 años	2022T1	56,31
Ambos sexos	02 Aragón	De 20 a 24 años	2021T4	55,81
Ambos sexos	02 Aragón	De 20 a 24 años	2021T3	55,22
Ambos sexos	02 Aragón	De 20 a 24 años	2021T2	52,24
Ambos sexos	02 Aragón	De 20 a 24 años	2021T1	54,68
Ambos sexos	02 Aragón	De 25 a 54 años	2023T4	91
Ambos sexos	02 Aragón	De 25 a 54 años	2023T3	88,79
Ambos sexos	02 Aragón	De 25 a 54 años	2023T2	90,77
Ambos sexos	02 Aragón	De 25 a 54 años	2023T1	91,87
Ambos sexos	02 Aragón	De 25 a 54 años	2022T4	90,02
Ambos sexos	02 Aragón	De 25 a 54 años	2022T3	89,25
Ambos sexos	02 Aragón	De 25 a 54 años	2022T2	91,14
Ambos sexos	02 Aragón	De 25 a 54 años	2022T1	90,65
Ambos sexos	02 Aragón	De 25 a 54 años	2021T4	91,09
Ambos sexos	02 Aragón	De 25 a 54 años	2021T3	89,97
Ambos sexos	02 Aragón	De 25 a 54 años	2021T2	89,25
Ambos sexos	02 Aragón	De 25 a 54 años	2021T1	88,76
Ambos sexos	02 Aragón	55 y más años	2023T4	30,32
Ambos sexos	02 Aragón	55 y más años	2023T3	29,84
Ambos sexos	02 Aragón	55 y más años	2023T2	29,54
Ambos sexos	02 Aragón	55 y más años	2023T1	28,88
Ambos sexos	02 Aragón	55 y más años	2022T4	30,1
Ambos sexos	02 Aragón	55 y más años	2022T3	29,47
Ambos sexos	02 Aragón	55 y más años	2022T2	29,09
Ambos sexos	02 Aragón	55 y más años	2022T1	29,57
Ambos sexos	02 Aragón	55 y más años	2021T4	28,48
Ambos sexos	02 Aragón	55 y más años	2021T3	29,09
Ambos sexos	02 Aragón	55 y más años	2021T2	28,87
Ambos sexos	02 Aragón	55 y más años	2021T1	28,28
Ambos sexos	03 Asturias, Principado de	Total	2023T4	50,84
Ambos sexos	03 Asturias, Principado de	Total	2023T3	51,68
Ambos sexos	03 Asturias, Principado de	Total	2023T2	50,4
Ambos sexos	03 Asturias, Principado de	Total	2023T1	49,71
Ambos sexos	03 Asturias, Principado de	Total	2022T4	50,45
Ambos sexos	03 Asturias, Principado de	Total	2022T3	50,02
Ambos sexos	03 Asturias, Principado de	Total	2022T2	48,86
Ambos sexos	03 Asturias, Principado de	Total	2022T1	49,86
Ambos sexos	03 Asturias, Principado de	Total	2021T4	50,01
Ambos sexos	03 Asturias, Principado de	Total	2021T3	51,05
Ambos sexos	03 Asturias, Principado de	Total	2021T2	51,08
Ambos sexos	03 Asturias, Principado de	Total	2021T1	50,59
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T4	26,2
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T3	34,18
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T2	28,79
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023T1	25,94
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T4	33,51
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T3	30,92
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T2	24,51
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2022T1	24,39
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T4	24,54
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T3	29,69
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T2	28,04
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2021T1	19,62
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T4	53,18
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T3	53,32
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T2	52,4
Ambos sexos	03 Asturias, Principado de	25 y más años	2023T1	51,87
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T4	51,98
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T3	51,74
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T2	51,04
Ambos sexos	03 Asturias, Principado de	25 y más años	2022T1	52,12
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T4	52,23
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T3	52,84
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T2	53,01
Ambos sexos	03 Asturias, Principado de	25 y más años	2021T1	53,22
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T4	10,58
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T3	14,14
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T2	8,28
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2023T1	9
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T4	11,57
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T3	9,55
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T2	6,11
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2022T1	3,83
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T4	2,48
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T3	7,4
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T2	8,17
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021T1	3,03
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T4	40,05
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T3	51,65
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T2	46,3
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2023T1	40,15
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T4	51,97
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T3	48,98
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T2	40,09
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2022T1	41,76
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T4	42,5
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T3	46,47
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T2	43,04
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2021T1	32,65
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T4	85,86
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T3	86,13
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T2	83,92
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2023T1	83,51
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T4	83,5
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T3	83,66
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T2	81,88
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2022T1	84,58
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T4	84,32
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T3	85,15
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T2	85,2
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2021T1	84,64
Ambos sexos	03 Asturias, Principado de	55 y más años	2023T4	24,59
Ambos sexos	03 Asturias, Principado de	55 y más años	2023T3	24,47
Ambos sexos	03 Asturias, Principado de	55 y más años	2023T2	24,55
Ambos sexos	03 Asturias, Principado de	55 y más años	2023T1	23,78
Ambos sexos	03 Asturias, Principado de	55 y más años	2022T4	23,87
Ambos sexos	03 Asturias, Principado de	55 y más años	2022T3	23,14
Ambos sexos	03 Asturias, Principado de	55 y más años	2022T2	23,29
Ambos sexos	03 Asturias, Principado de	55 y más años	2022T1	22,75
Ambos sexos	03 Asturias, Principado de	55 y más años	2021T4	22,94
Ambos sexos	03 Asturias, Principado de	55 y más años	2021T3	23,08
Ambos sexos	03 Asturias, Principado de	55 y más años	2021T2	23,14
Ambos sexos	03 Asturias, Principado de	55 y más años	2021T1	23,9
Ambos sexos	04 Balears, Illes	Total	2023T4	61,05
Ambos sexos	04 Balears, Illes	Total	2023T3	67,22
Ambos sexos	04 Balears, Illes	Total	2023T2	65,01
Ambos sexos	04 Balears, Illes	Total	2023T1	61,79
Ambos sexos	04 Balears, Illes	Total	2022T4	61,05
Ambos sexos	04 Balears, Illes	Total	2022T3	66,77
Ambos sexos	04 Balears, Illes	Total	2022T2	65,42
Ambos sexos	04 Balears, Illes	Total	2022T1	63,09
Ambos sexos	04 Balears, Illes	Total	2021T4	61,41
Ambos sexos	04 Balears, Illes	Total	2021T3	66,58
Ambos sexos	04 Balears, Illes	Total	2021T2	64,71
Ambos sexos	04 Balears, Illes	Total	2021T1	60,17
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T4	36,44
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T3	49,01
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T2	40,97
Ambos sexos	04 Balears, Illes	Menores de 25 años	2023T1	34,86
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T4	37,64
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T3	50,18
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T2	43,84
Ambos sexos	04 Balears, Illes	Menores de 25 años	2022T1	32,39
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T4	29,91
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T3	45,44
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T2	37,66
Ambos sexos	04 Balears, Illes	Menores de 25 años	2021T1	28,54
Ambos sexos	04 Balears, Illes	25 y más años	2023T4	64,22
Ambos sexos	04 Balears, Illes	25 y más años	2023T3	69,54
Ambos sexos	04 Balears, Illes	25 y más años	2023T2	68,16
Ambos sexos	04 Balears, Illes	25 y más años	2023T1	65,21
Ambos sexos	04 Balears, Illes	25 y más años	2022T4	64,03
Ambos sexos	04 Balears, Illes	25 y más años	2022T3	68,82
Ambos sexos	04 Balears, Illes	25 y más años	2022T2	68,01
Ambos sexos	04 Balears, Illes	25 y más años	2022T1	66,77
Ambos sexos	04 Balears, Illes	25 y más años	2021T4	65,21
Ambos sexos	04 Balears, Illes	25 y más años	2021T3	69,14
Ambos sexos	04 Balears, Illes	25 y más años	2021T2	68,01
Ambos sexos	04 Balears, Illes	25 y más años	2021T1	64,13
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T4	15,56
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T3	27,54
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T2	21,95
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2023T1	12,8
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T4	16,63
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T3	23,13
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T2	13,99
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2022T1	10,07
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T4	9,33
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T3	21,64
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T2	16,24
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2021T1	9,8
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T4	52,58
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T3	65,46
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T2	56,82
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023T1	52,45
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T4	54,93
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T3	71,24
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T2	66,24
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2022T1	49,22
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T4	45,81
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T3	64,11
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T2	54,73
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2021T1	44,2
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T4	83,41
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T3	90,69
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T2	89,43
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2023T1	84,93
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2022T4	83,98
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2022T3	89,98
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2022T2	89,38
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2022T1	87,37
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2021T4	84,55
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2021T3	89,2
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2021T2	89,08
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2021T1	83,59
Ambos sexos	04 Balears, Illes	55 y más años	2023T4	34,59
Ambos sexos	04 Balears, Illes	55 y más años	2023T3	36,78
Ambos sexos	04 Balears, Illes	55 y más años	2023T2	35,2
Ambos sexos	04 Balears, Illes	55 y más años	2023T1	34,56
Ambos sexos	04 Balears, Illes	55 y más años	2022T4	32,94
Ambos sexos	04 Balears, Illes	55 y más años	2022T3	35,8
Ambos sexos	04 Balears, Illes	55 y más años	2022T2	34,61
