CCAA de su universidad	Ámbito de estudio	Tasas de actividad, empleo y paro	Total
Andalucía	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	68,3
Andalucía	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	15,5
Andalucía	Periodismo y documentación	Tasa de actividad	96,4
Andalucía	Periodismo y documentación	Tasa de empleo	77,7
Andalucía	Periodismo y documentación	Tasa de paro	19,4
Andalucía	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	85,5
Andalucía	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	72,5
Andalucía	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	15,1
Andalucía	Dirección y administración	Tasa de actividad	88,9
Andalucía	Dirección y administración	Tasa de empleo	75,3
Andalucía	Dirección y administración	Tasa de paro	15,3
Andalucía	Negocios y administración (Otros estudios)	Tasa de actividad	87,6
Andalucía	Negocios y administración (Otros estudios)	Tasa de empleo	71,9
Andalucía	Negocios y administración (Otros estudios)	Tasa de paro	17,9
Andalucía	Derecho	Tasa de actividad	77,5
Andalucía	Derecho	Tasa de empleo	66,9
Andalucía	Derecho	Tasa de paro	13,6
Andalucía	05 - CIENCIAS	Tasa de actividad	91,8
Andalucía	05 - CIENCIAS	Tasa de empleo	77,8
Andalucía	05 - CIENCIAS	Tasa de paro	15,3
Andalucía	Ciencias de la vida	Tasa de actividad	88,4
Andalucía	Ciencias de la vida	Tasa de empleo	75,8
Andalucía	Ciencias de la vida	Tasa de paro	14,2
Andalucía	Medio ambiente	Tasa de actividad	93,4
Andalucía	Medio ambiente	Tasa de empleo	76
Andalucía	Medio ambiente	Tasa de paro	18,7
Andalucía	Ciencias químicas, físicas y geológicas	Tasa de actividad	93,6
Andalucía	Ciencias químicas, físicas y geológicas	Tasa de empleo	75,3
Andalucía	Ciencias químicas, físicas y geológicas	Tasa de paro	19,6
Andalucía	Matemáticas y estadística	Tasa de actividad	97,1
Andalucía	Matemáticas y estadística	Tasa de empleo	94,3
Andalucía	Matemáticas y estadística	Tasa de paro	2,9
Andalucía	06 - INFORMÁTICA	Tasa de actividad	98,8
Andalucía	06 - INFORMÁTICA	Tasa de empleo	95,3
Andalucía	06 - INFORMÁTICA	Tasa de paro	3,6
Andalucía	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	95,1
Andalucía	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	87,5
Andalucía	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	8
Andalucía	Ingeniería y profesiones afines	Tasa de actividad	99
Andalucía	Ingeniería y profesiones afines	Tasa de empleo	92,7
Andalucía	Ingeniería y profesiones afines	Tasa de paro	6,3
Andalucía	Industria manufacturera y producción	Tasa de actividad	94
Andalucía	Industria manufacturera y producción	Tasa de empleo	90,1
Andalucía	Industria manufacturera y producción	Tasa de paro	4,2
Andalucía	Arquitectura y construcción	Tasa de actividad	90
Andalucía	Arquitectura y construcción	Tasa de empleo	80,2
Andalucía	Arquitectura y construcción	Tasa de paro	10,9
Andalucía	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	92,5
Andalucía	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	86,9
Andalucía	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	6
Andalucía	Agricultura y ganadería	Tasa de actividad	97,5
Andalucía	Agricultura y ganadería	Tasa de empleo	88,7
Andalucía	Agricultura y ganadería	Tasa de paro	9
Andalucía	Silvicultura	Tasa de actividad	90,6
Andalucía	Silvicultura	Tasa de empleo	84,5
Andalucía	Silvicultura	Tasa de paro	6,6
Andalucía	Veterinaria	Tasa de actividad	85,7
Andalucía	Veterinaria	Tasa de empleo	85,7
Andalucía	Veterinaria	Tasa de paro	0
Andalucía	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	94,2
Andalucía	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	86,8
Andalucía	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	7,8
Andalucía	Medicina	Tasa de actividad	98,9
Andalucía	Medicina	Tasa de empleo	94,6
Andalucía	Medicina	Tasa de paro	4,4
Andalucía	Enfermería	Tasa de actividad	96,6
Andalucía	Enfermería	Tasa de empleo	90,7
Andalucía	Enfermería	Tasa de paro	6,1
Andalucía	Salud (Otros estudios)	Tasa de actividad	92,9
Andalucía	Salud (Otros estudios)	Tasa de empleo	85,6
Andalucía	Salud (Otros estudios)	Tasa de paro	7,8
Andalucía	Servicios sociales	Tasa de actividad	85,6
Andalucía	Servicios sociales	Tasa de empleo	71,1
Andalucía	Servicios sociales	Tasa de paro	16,9
Andalucía	10 - SERVICIOS	Tasa de actividad	89,4
Andalucía	10 - SERVICIOS	Tasa de empleo	82,1
Andalucía	10 - SERVICIOS	Tasa de paro	8,1
Andalucía	Actividades físicas y deportivas	Tasa de actividad	91,4
Andalucía	Actividades físicas y deportivas	Tasa de empleo	87,6
Andalucía	Actividades físicas y deportivas	Tasa de paro	4,2
Andalucía	Viajes, turismo y ocio	Tasa de actividad	87,3
Andalucía	Viajes, turismo y ocio	Tasa de empleo	77,9
Andalucía	Viajes, turismo y ocio	Tasa de paro	10,7
Andalucía	Servicios (Otros estudios)	Tasa de actividad	95,7
Andalucía	Servicios (Otros estudios)	Tasa de empleo	77,2
Andalucía	Servicios (Otros estudios)	Tasa de paro	19,3
Aragón	TOTAL	Tasa de actividad	93,3
Aragón	TOTAL	Tasa de empleo	86,7
Aragón	TOTAL	Tasa de paro	7,1
Aragón	01 - EDUCACIÓN	Tasa de actividad	95,1
Aragón	01 - EDUCACIÓN	Tasa de empleo	86,2
Aragón	01 - EDUCACIÓN	Tasa de paro	9,4
Aragón	Formación de docentes de enseñanza infantil	Tasa de actividad	95,1
Aragón	Formación de docentes de enseñanza infantil	Tasa de empleo	83,6
Aragón	Formación de docentes de enseñanza infantil	Tasa de paro	12,1
Aragón	Formación de docentes de enseñanza primaria	Tasa de actividad	95,4
Aragón	Formación de docentes de enseñanza primaria	Tasa de empleo	87,8
Aragón	Formación de docentes de enseñanza primaria	Tasa de paro	7,9
Aragón	Educación (Otros estudios)	Tasa de actividad	94,7
Aragón	Educación (Otros estudios)	Tasa de empleo	87,1
Aragón	Educación (Otros estudios)	Tasa de paro	8
Aragón	02 - ARTES Y HUMANIDADES	Tasa de actividad	90,1
Aragón	02 - ARTES Y HUMANIDADES	Tasa de empleo	76,7
Aragón	02 - ARTES Y HUMANIDADES	Tasa de paro	14,9
Aragón	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	83,3
Aragón	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	83,3
Aragón	Técnicas audiovisuales y medios de comunicación	Tasa de paro	0
Aragón	Artes (Otros estudios)	Tasa de actividad	91,5
Aragón	Artes (Otros estudios)	Tasa de empleo	79,5
Aragón	Artes (Otros estudios)	Tasa de paro	13,2
Aragón	Humanidades	Tasa de actividad	85,2
Aragón	Humanidades	Tasa de empleo	70,9
Aragón	Humanidades	Tasa de paro	16,8
Aragón	Lenguas	Tasa de actividad	93,6
Aragón	Lenguas	Tasa de empleo	78,6
Aragón	Lenguas	Tasa de paro	16
Aragón	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	93,5
Aragón	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	82,8
Aragón	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	11,4
Aragón	Economía	Tasa de actividad	93,9
Aragón	Economía	Tasa de empleo	87,4
Aragón	Economía	Tasa de paro	6,9
Aragón	Psicología	Tasa de actividad	87,2
Aragón	Psicología	Tasa de empleo	78,1
Aragón	Psicología	Tasa de paro	10,5
Aragón	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	100
Aragón	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	78,9
Aragón	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	21,1
Aragón	Periodismo y documentación	Tasa de actividad	95,2
Aragón	Periodismo y documentación	Tasa de empleo	80,7
Aragón	Periodismo y documentación	Tasa de paro	15,2
Aragón	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	88,3
Aragón	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	81,4
Aragón	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	7,8
Aragón	Dirección y administración	Tasa de actividad	91,4
Aragón	Dirección y administración	Tasa de empleo	86,7
Aragón	Dirección y administración	Tasa de paro	5,2
Aragón	Negocios y administración (Otros estudios)	Tasa de actividad	95,1
Aragón	Negocios y administración (Otros estudios)	Tasa de empleo	84,5
Aragón	Negocios y administración (Otros estudios)	Tasa de paro	11,1
Aragón	Derecho	Tasa de actividad	82,8
Aragón	Derecho	Tasa de empleo	73,7
Aragón	Derecho	Tasa de paro	11
Aragón	05 - CIENCIAS	Tasa de actividad	93,9
Aragón	05 - CIENCIAS	Tasa de empleo	88,3
Aragón	05 - CIENCIAS	Tasa de paro	5,9
Aragón	Ciencias de la vida	Tasa de actividad	100
Aragón	Ciencias de la vida	Tasa de empleo	92,8
Aragón	Ciencias de la vida	Tasa de paro	7,2
Aragón	Medio ambiente	Tasa de actividad	94,9
Aragón	Medio ambiente	Tasa de empleo	71,1
Aragón	Medio ambiente	Tasa de paro	25,1
Aragón	Ciencias químicas, físicas y geológicas	Tasa de actividad	90,1
Aragón	Ciencias químicas, físicas y geológicas	Tasa de empleo	86,7
Aragón	Ciencias químicas, físicas y geológicas	Tasa de paro	3,8
Aragón	Matemáticas y estadística	Tasa de actividad	100
Aragón	Matemáticas y estadística	Tasa de empleo	100
Aragón	Matemáticas y estadística	Tasa de paro	0
Aragón	06 - INFORMÁTICA	Tasa de actividad	100
Aragón	06 - INFORMÁTICA	Tasa de empleo	98,3
Aragón	06 - INFORMÁTICA	Tasa de paro	1,7
Aragón	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	96,8
Aragón	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	92
Aragón	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	5
Aragón	Ingeniería y profesiones afines	Tasa de actividad	97,2
Aragón	Ingeniería y profesiones afines	Tasa de empleo	91,8
Aragón	Ingeniería y profesiones afines	Tasa de paro	5,6
Aragón	Industria manufacturera y producción	Tasa de actividad	95,9
Aragón	Industria manufacturera y producción	Tasa de empleo	87,7
Aragón	Industria manufacturera y producción	Tasa de paro	8,5
Aragón	Arquitectura y construcción	Tasa de actividad	95,7
Aragón	Arquitectura y construcción	Tasa de empleo	93,3
Aragón	Arquitectura y construcción	Tasa de paro	2,5
Aragón	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	93,8
Aragón	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	82,7
Aragón	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	11,8
Aragón	Agricultura y ganadería	Tasa de actividad	100
Aragón	Agricultura y ganadería	Tasa de empleo	96,7
Aragón	Agricultura y ganadería	Tasa de paro	3,3
Aragón	Silvicultura	Tasa de actividad	0
Aragón	Silvicultura	Tasa de empleo	0
Aragón	Silvicultura	Tasa de paro	0
Aragón	Veterinaria	Tasa de actividad	91,5
Aragón	Veterinaria	Tasa de empleo	77,8
Aragón	Veterinaria	Tasa de paro	15
Aragón	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	94,7
Aragón	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	91,5
Aragón	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	3,4
Aragón	Medicina	Tasa de actividad	100
Aragón	Medicina	Tasa de empleo	96,7
Aragón	Medicina	Tasa de paro	3,3
Aragón	Enfermería	Tasa de actividad	93,9
Aragón	Enfermería	Tasa de empleo	92,3
Aragón	Enfermería	Tasa de paro	1,7
Aragón	Salud (Otros estudios)	Tasa de actividad	90,1
Aragón	Salud (Otros estudios)	Tasa de empleo	88,6
Aragón	Salud (Otros estudios)	Tasa de paro	1,7
Aragón	Servicios sociales	Tasa de actividad	98
Aragón	Servicios sociales	Tasa de empleo	89,3
Aragón	Servicios sociales	Tasa de paro	9
Aragón	10 - SERVICIOS	Tasa de actividad	95,8
Aragón	10 - SERVICIOS	Tasa de empleo	91,4
Aragón	10 - SERVICIOS	Tasa de paro	4,6
Aragón	Actividades físicas y deportivas	Tasa de actividad	93,2
Aragón	Actividades físicas y deportivas	Tasa de empleo	89,7
Aragón	Actividades físicas y deportivas	Tasa de paro	3,7
Aragón	Viajes, turismo y ocio	Tasa de actividad	97,9
Aragón	Viajes, turismo y ocio	Tasa de empleo	92,8
Aragón	Viajes, turismo y ocio	Tasa de paro	5,3
Aragón	Servicios (Otros estudios)	Tasa de actividad	0
Aragón	Servicios (Otros estudios)	Tasa de empleo	0
Aragón	Servicios (Otros estudios)	Tasa de paro	0
Asturias, Principado de	TOTAL	Tasa de actividad	92,5
Asturias, Principado de	TOTAL	Tasa de empleo	84,4
Asturias, Principado de	TOTAL	Tasa de paro	8,7
Asturias, Principado de	01 - EDUCACIÓN	Tasa de actividad	92,5
Asturias, Principado de	01 - EDUCACIÓN	Tasa de empleo	79,4
Asturias, Principado de	01 - EDUCACIÓN	Tasa de paro	14,2
Asturias, Principado de	Formación de docentes de enseñanza infantil	Tasa de actividad	88,7
Asturias, Principado de	Formación de docentes de enseñanza infantil	Tasa de empleo	68,5
Asturias, Principado de	Formación de docentes de enseñanza infantil	Tasa de paro	22,8
Asturias, Principado de	Formación de docentes de enseñanza primaria	Tasa de actividad	94,4
Asturias, Principado de	Formación de docentes de enseñanza primaria	Tasa de empleo	89,2
Asturias, Principado de	Formación de docentes de enseñanza primaria	Tasa de paro	5,6
Asturias, Principado de	Educación (Otros estudios)	Tasa de actividad	93,2
Asturias, Principado de	Educación (Otros estudios)	Tasa de empleo	76,5
Asturias, Principado de	Educación (Otros estudios)	Tasa de paro	17,9
Asturias, Principado de	02 - ARTES Y HUMANIDADES	Tasa de actividad	87,4
Asturias, Principado de	02 - ARTES Y HUMANIDADES	Tasa de empleo	69,9
Asturias, Principado de	02 - ARTES Y HUMANIDADES	Tasa de paro	20
Asturias, Principado de	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	0
Asturias, Principado de	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	0
Asturias, Principado de	Técnicas audiovisuales y medios de comunicación	Tasa de paro	0
Asturias, Principado de	Artes (Otros estudios)	Tasa de actividad	91
Asturias, Principado de	Artes (Otros estudios)	Tasa de empleo	76,8
Asturias, Principado de	Artes (Otros estudios)	Tasa de paro	15,6
Asturias, Principado de	Humanidades	Tasa de actividad	85,5
Asturias, Principado de	Humanidades	Tasa de empleo	60,8
Asturias, Principado de	Humanidades	Tasa de paro	29
Asturias, Principado de	Lenguas	Tasa de actividad	86,9
Asturias, Principado de	Lenguas	Tasa de empleo	72,1
Asturias, Principado de	Lenguas	Tasa de paro	17,1
Asturias, Principado de	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	93,2
Asturias, Principado de	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	87,2
Asturias, Principado de	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	6,5
Asturias, Principado de	Economía	Tasa de actividad	97,8
Asturias, Principado de	Economía	Tasa de empleo	89
Asturias, Principado de	Economía	Tasa de paro	9,1
Asturias, Principado de	Psicología	Tasa de actividad	90,2
Asturias, Principado de	Psicología	Tasa de empleo	86,1
Asturias, Principado de	Psicología	Tasa de paro	4,6
Asturias, Principado de	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	0
Asturias, Principado de	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	0
Asturias, Principado de	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	0
Asturias, Principado de	Periodismo y documentación	Tasa de actividad	0
Asturias, Principado de	Periodismo y documentación	Tasa de empleo	0
Asturias, Principado de	Periodismo y documentación	Tasa de paro	0
Asturias, Principado de	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	90,7
Asturias, Principado de	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	86,8
Asturias, Principado de	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	4,2
Asturias, Principado de	Dirección y administración	Tasa de actividad	96,3
