Comunidades y ciudades autónomas	Sexo	periodo	Total
Total nacional	Ambos sexos	1982	57,32
Total nacional	Ambos sexos	1981	57,45
Total nacional	Ambos sexos	1980	58,16
Total nacional	Ambos sexos	1979	58,41
Total nacional	Ambos sexos	1978	58,84
Total nacional	Ambos sexos	1977	59,06
Total nacional	Varones	2029	75,37
Total nacional	Varones	2028	75,43
Total nacional	Varones	2027	75,61
Total nacional	Varones	2026	75,83
Total nacional	Varones	2025	76,12
Total nacional	Varones	2024	76,5
Total nacional	Varones	2023	76,83
Total nacional	Varones	2022	77,18
Total nacional	Varones	2021	77,54
Total nacional	Varones	2020	77,91
Total nacional	Varones	2019	78,29
Total nacional	Varones	2018	78,62
Total nacional	Varones	2017	78,92
Total nacional	Varones	2016	79,25
Total nacional	Varones	2015	80,92
Total nacional	Varones	2014	80,72
Total nacional	Varones	2013	81,03
Total nacional	Varones	2012	81,38
Total nacional	Varones	2011	81,57
Total nacional	Varones	2010	81,74
Total nacional	Varones	2009	82,63
Total nacional	Varones	2008	82,75
Total nacional	Varones	2007	82,52
Total nacional	Varones	2006	82,38
Total nacional	Varones	2005	81,88
Total nacional	Varones	2004	81,47
Total nacional	Varones	2003	80,96
Total nacional	Varones	2002	80,07
Total nacional	Varones	2001	79,11
Total nacional	Varones	2000	78,04
Total nacional	Varones	1999	77,17
Total nacional	Varones	1998	76,27
Total nacional	Varones	1997	75,82
Total nacional	Varones	1996	75,35
Total nacional	Varones	1995	75,42
Total nacional	Varones	1994	76,31
Total nacional	Varones	1993	76,84
Total nacional	Varones	1992	77,77
Total nacional	Varones	1991	78,66
Total nacional	Varones	1990	78,79
Total nacional	Varones	1989	78,82
Total nacional	Varones	1988	79,16
Total nacional	Varones	1987	79,56
Total nacional	Varones	1986	79,72
Total nacional	Varones	1985	80,27
Total nacional	Varones	1984	80,96
Total nacional	Varones	1983	81,67
Total nacional	Varones	1982	82,5
Total nacional	Varones	1981	82,83
Total nacional	Varones	1980	83,82
Total nacional	Varones	1979	84,54
Total nacional	Varones	1978	85,34
Total nacional	Varones	1977	85,91
Total nacional	Mujeres	2029	72,26
Total nacional	Mujeres	2028	72,32
Total nacional	Mujeres	2027	72,51
Total nacional	Mujeres	2026	72,72
Total nacional	Mujeres	2025	72,78
Total nacional	Mujeres	2024	72,94
Total nacional	Mujeres	2023	73,01
Total nacional	Mujeres	2022	73,04
Total nacional	Mujeres	2021	73,06
Total nacional	Mujeres	2020	73,04
Total nacional	Mujeres	2019	72,97
Total nacional	Mujeres	2018	72,78
Total nacional	Mujeres	2017	72,46
Total nacional	Mujeres	2016	72,02
Total nacional	Mujeres	2015	69,94
Total nacional	Mujeres	2014	69,73
Total nacional	Mujeres	2013	69,52
Total nacional	Mujeres	2012	68,75
Total nacional	Mujeres	2011	67,78
Total nacional	Mujeres	2010	66,51
Total nacional	Mujeres	2009	65,5
Total nacional	Mujeres	2008	63,54
Total nacional	Mujeres	2007	62,15
Total nacional	Mujeres	2006	60,63
Total nacional	Mujeres	2005	59,05
Total nacional	Mujeres	2004	57,49
Total nacional	Mujeres	2003	55,64
Total nacional	Mujeres	2002	53,19
Total nacional	Mujeres	2001	51,2
Total nacional	Mujeres	2000	50,07
Total nacional	Mujeres	1999	48,23
Total nacional	Mujeres	1998	47,49
Total nacional	Mujeres	1997	46,68
Total nacional	Mujeres	1996	45,6
Total nacional	Mujeres	1995	44,89
Total nacional	Mujeres	1994	43,99
Total nacional	Mujeres	1993	42,83
Total nacional	Mujeres	1992	42,32
Total nacional	Mujeres	1991	41,47
Total nacional	Mujeres	1990	40,82
Total nacional	Mujeres	1989	40,13
Total nacional	Mujeres	1988	39,67
Total nacional	Mujeres	1987	35,93
Total nacional	Mujeres	1986	34,27
Total nacional	Mujeres	1985	34,01
Total nacional	Mujeres	1984	33,96
Total nacional	Mujeres	1983	33,49
Total nacional	Mujeres	1982	32,52
Total nacional	Mujeres	1981	32,49
Total nacional	Mujeres	1980	32,95
Total nacional	Mujeres	1979	32,79
Total nacional	Mujeres	1978	32,95
Total nacional	Mujeres	1977	32,89
Andalucía	Ambos sexos	2029	71,62
Andalucía	Ambos sexos	2028	71,69
Andalucía	Ambos sexos	2027	71,88
Andalucía	Ambos sexos	2026	72,09
Andalucía	Ambos sexos	2025	72,3
Andalucía	Ambos sexos	2024	72,62
Andalucía	Ambos sexos	2023	72,84
Andalucía	Ambos sexos	2022	73,06
Andalucía	Ambos sexos	2021	73,22
Andalucía	Ambos sexos	2020	73,34
Andalucía	Ambos sexos	2019	73,37
Andalucía	Ambos sexos	2018	73,3
Andalucía	Ambos sexos	2017	73,17
Andalucía	Ambos sexos	2016	72,93
Andalucía	Ambos sexos	2015	72,73
Andalucía	Ambos sexos	2014	72,13
Andalucía	Ambos sexos	2013	72,28
Andalucía	Ambos sexos	2012	71,66
Andalucía	Ambos sexos	2011	71,07
Andalucía	Ambos sexos	2010	70,55
Andalucía	Ambos sexos	2009	70,16
Andalucía	Ambos sexos	2008	68,44
Andalucía	Ambos sexos	2007	67,31
Andalucía	Ambos sexos	2006	66,61
Andalucía	Ambos sexos	2005	65,43
Andalucía	Ambos sexos	2004	64,61
Andalucía	Ambos sexos	2003	63,79
Andalucía	Ambos sexos	2002	62,06
Andalucía	Ambos sexos	2001	60,04
Andalucía	Ambos sexos	2000	59,84
Andalucía	Ambos sexos	1999	58,5
Andalucía	Ambos sexos	1998	57,76
Andalucía	Ambos sexos	1997	57,54
Andalucía	Ambos sexos	1996	56,53
Andalucía	Ambos sexos	1995	56,15
Andalucía	Ambos sexos	1994	55,88
Andalucía	Ambos sexos	1993	55,5
Andalucía	Ambos sexos	1992	55,88
Andalucía	Ambos sexos	1991	56,27
Andalucía	Ambos sexos	1990	55,95
Andalucía	Ambos sexos	1989	56,01
Andalucía	Ambos sexos	1988	55,69
Andalucía	Ambos sexos	1987	52,97
Andalucía	Ambos sexos	1986	51,85
Andalucía	Ambos sexos	1985	51,52
Andalucía	Ambos sexos	1984	51,73
Andalucía	Ambos sexos	1983	51,64
Andalucía	Ambos sexos	1982	51,61
Andalucía	Ambos sexos	1981	51,95
Andalucía	Ambos sexos	1980	52,59
Andalucía	Ambos sexos	1979	53,16
Andalucía	Ambos sexos	1978	53,46
Andalucía	Ambos sexos	1977	53,99
Andalucía	Varones	2029	73,01
Andalucía	Varones	2028	73,07
Andalucía	Varones	2027	73,26
Andalucía	Varones	2026	73,48
Andalucía	Varones	2025	73,85
Andalucía	Varones	2024	74,35
Andalucía	Varones	2023	74,78
Andalucía	Varones	2022	75,21
Andalucía	Varones	2021	75,63
Andalucía	Varones	2020	75,99
Andalucía	Varones	2019	76,33
Andalucía	Varones	2018	76,6
Andalucía	Varones	2017	76,85
Andalucía	Varones	2016	77,09
Andalucía	Varones	2015	79,2
Andalucía	Varones	2014	78,65
Andalucía	Varones	2013	78,55
Andalucía	Varones	2012	79,18
Andalucía	Varones	2011	79,35
Andalucía	Varones	2010	79,48
Andalucía	Varones	2009	80,4
Andalucía	Varones	2008	79,84
Andalucía	Varones	2007	79,56
Andalucía	Varones	2006	79,73
Andalucía	Varones	2005	78,87
Andalucía	Varones	2004	78,41
Andalucía	Varones	2003	78,21
Andalucía	Varones	2002	76,97
Andalucía	Varones	2001	75,45
Andalucía	Varones	2000	74,88
Andalucía	Varones	1999	74,44
Andalucía	Varones	1998	73,24
Andalucía	Varones	1997	73,08
Andalucía	Varones	1996	72,72
Andalucía	Varones	1995	72,97
Andalucía	Varones	1994	73,67
Andalucía	Varones	1993	73,81
Andalucía	Varones	1992	75,68
Andalucía	Varones	1991	76,83
Andalucía	Varones	1990	77,07
Andalucía	Varones	1989	77,44
Andalucía	Varones	1988	78,17
Andalucía	Varones	1987	78,08
Andalucía	Varones	1986	77,82
Andalucía	Varones	1985	78,02
Andalucía	Varones	1984	78,59
Andalucía	Varones	1983	79,7
Andalucía	Varones	1982	80,54
Andalucía	Varones	1981	80,75
Andalucía	Varones	1980	81,61
Andalucía	Varones	1979	82,59
Andalucía	Varones	1978	83,28
Andalucía	Varones	1977	84,1
Andalucía	Mujeres	2029	70,24
Andalucía	Mujeres	2028	70,3
Andalucía	Mujeres	2027	70,5
Andalucía	Mujeres	2026	70,7
Andalucía	Mujeres	2025	70,75
Andalucía	Mujeres	2024	70,89
Andalucía	Mujeres	2023	70,91
Andalucía	Mujeres	2022	70,89
Andalucía	Mujeres	2021	70,81
Andalucía	Mujeres	2020	70,67
Andalucía	Mujeres	2019	70,39
Andalucía	Mujeres	2018	69,98
Andalucía	Mujeres	2017	69,45
Andalucía	Mujeres	2016	68,73
Andalucía	Mujeres	2015	66,18
Andalucía	Mujeres	2014	65,53
Andalucía	Mujeres	2013	65,93
Andalucía	Mujeres	2012	64,01
Andalucía	Mujeres	2011	62,63
Andalucía	Mujeres	2010	61,44
Andalucía	Mujeres	2009	59,73
Andalucía	Mujeres	2008	56,81
Andalucía	Mujeres	2007	54,82
Andalucía	Mujeres	2006	53,24
Andalucía	Mujeres	2005	51,8
Andalucía	Mujeres	2004	50,67
Andalucía	Mujeres	2003	49,25
Andalucía	Mujeres	2002	47,05
Andalucía	Mujeres	2001	44,55
Andalucía	Mujeres	2000	44,76
Andalucía	Mujeres	1999	42,52
Andalucía	Mujeres	1998	42,23
Andalucía	Mujeres	1997	41,97
Andalucía	Mujeres	1996	40,34
Andalucía	Mujeres	1995	39,35
Andalucía	Mujeres	1994	38,11
Andalucía	Mujeres	1993	37,22
Andalucía	Mujeres	1992	36,12
Andalucía	Mujeres	1991	35,76
Andalucía	Mujeres	1990	34,87
Andalucía	Mujeres	1989	34,63
Andalucía	Mujeres	1988	33,26
Andalucía	Mujeres	1987	27,9
Andalucía	Mujeres	1986	25,97
Andalucía	Mujeres	1985	25,13
Andalucía	Mujeres	1984	25,03
Andalucía	Mujeres	1983	23,8
Andalucía	Mujeres	1982	22,98
Andalucía	Mujeres	1981	23,5
Andalucía	Mujeres	1980	23,94
Andalucía	Mujeres	1979	24,18
Andalucía	Mujeres	1978	24,18
Andalucía	Mujeres	1977	24,49
Aragón	Ambos sexos	2029	75,77
Aragón	Ambos sexos	2028	75,83
Aragón	Ambos sexos	2027	76,02
Aragón	Ambos sexos	2026	76,25
Aragón	Ambos sexos	2025	76,52
Aragón	Ambos sexos	2024	76,88
Aragón	Ambos sexos	2023	77,22
Aragón	Ambos sexos	2022	77,5
Aragón	Ambos sexos	2021	77,73
Aragón	Ambos sexos	2020	78,04
Aragón	Ambos sexos	2019	78,23
Aragón	Ambos sexos	2018	78,37
Aragón	Ambos sexos	2017	78,4
Aragón	Ambos sexos	2016	78,4
Aragón	Ambos sexos	2015	76,69
Aragón	Ambos sexos	2014	76,66
Aragón	Ambos sexos	2013	77,17
Aragón	Ambos sexos	2012	76,55
Aragón	Ambos sexos	2011	75,32
Aragón	Ambos sexos	2010	75,85
Aragón	Ambos sexos	2009	76,28
Aragón	Ambos sexos	2008	76,43
Aragón	Ambos sexos	2007	74,81
Aragón	Ambos sexos	2006	73,43
Aragón	Ambos sexos	2005	72,46
Aragón	Ambos sexos	2004	70,26
Aragón	Ambos sexos	2003	68,74
Aragón	Ambos sexos	2002	66,42
Aragón	Ambos sexos	2001	65,55
Aragón	Ambos sexos	2000	64,71
Aragón	Ambos sexos	1999	63,42
Aragón	Ambos sexos	1998	62,9
Aragón	Ambos sexos	1997	61,51
Aragón	Ambos sexos	1996	61,3
Aragón	Ambos sexos	1995	61,6
Aragón	Ambos sexos	1994	61,65
Aragón	Ambos sexos	1993	61,22
Aragón	Ambos sexos	1992	60,39
Aragón	Ambos sexos	1991	60,68
Aragón	Ambos sexos	1990	60,41
Aragón	Ambos sexos	1989	58,91
Aragón	Ambos sexos	1988	59,23
Aragón	Ambos sexos	1987	57,81
Aragón	Ambos sexos	1986	56,96
Aragón	Ambos sexos	1985	56,31
Aragón	Ambos sexos	1984	57,44
Aragón	Ambos sexos	1983	57,73
Aragón	Ambos sexos	1982	57,01
Aragón	Ambos sexos	1981	57,39
Aragón	Ambos sexos	1980	58,51
Aragón	Ambos sexos	1979	58,41
Aragón	Ambos sexos	1978	59,08
Aragón	Ambos sexos	1977	59,02
Aragón	Varones	2029	76,5
Aragón	Varones	2028	76,54
Aragón	Varones	2027	76,71
Aragón	Varones	2026	76,95
Aragón	Varones	2025	77,29
Aragón	Varones	2024	77,77
Aragón	Varones	2023	78,22
Aragón	Varones	2022	78,65
Aragón	Varones	2021	79,01
Aragón	Varones	2020	79,55
Aragón	Varones	2019	79,92
Aragón	Varones	2018	80,36
Aragón	Varones	2017	80,79
Aragón	Varones	2016	81,29
Aragón	Varones	2015	82,11
Aragón	Varones	2014	81,85
Aragón	Varones	2013	82,76
Aragón	Varones	2012	82,9
Aragón	Varones	2011	82,18
Aragón	Varones	2010	82,82
Aragón	Varones	2009	84,15
Aragón	Varones	2008	84,94
Aragón	Varones	2007	83,83
Aragón	Varones	2006	84,52
Aragón	Varones	2005	84,07
Aragón	Varones	2004	82,56
Aragón	Varones	2003	82,47
Aragón	Varones	2002	81,11
Aragón	Varones	2001	80,87
Aragón	Varones	2000	81,09
Aragón	Varones	1999	79,04
Aragón	Varones	1998	78,58
Aragón	Varones	1997	78,19
Aragón	Varones	1996	78,14
Aragón	Varones	1995	77,84
Aragón	Varones	1994	78,35
Aragón	Varones	1993	79,4
Aragón	Varones	1992	78,87
Aragón	Varones	1991	80,12
Aragón	Varones	1990	80,52
Aragón	Varones	1989	80,37
Aragón	Varones	1988	80,5
Aragón	Varones	1987	80,53
Aragón	Varones	1986	80,81
Aragón	Varones	1985	81,55
Aragón	Varones	1984	82,62
Aragón	Varones	1983	83,41
Aragón	Varones	1982	83,95
Aragón	Varones	1981	84,91
Aragón	Varones	1980	85,26
Aragón	Varones	1979	85,37
Aragón	Varones	1978	86,7
Aragón	Varones	1977	86,56
Aragón	Mujeres	2029	75,04
Aragón	Mujeres	2028	75,11
Aragón	Mujeres	2027	75,33
Aragón	Mujeres	2026	75,55
Aragón	Mujeres	2025	75,74
Aragón	Mujeres	2024	75,99
Aragón	Mujeres	2023	76,19
Aragón	Mujeres	2022	76,33
Aragón	Mujeres	2021	76,41
Aragón	Mujeres	2020	76,51
Aragón	Mujeres	2019	76,5
Aragón	Mujeres	2018	76,32
Aragón	Mujeres	2017	75,95
Aragón	Mujeres	2016	75,42
Aragón	Mujeres	2015	71,06
Aragón	Mujeres	2014	71,26
Aragón	Mujeres	2013	71,32
Aragón	Mujeres	2012	69,88
Aragón	Mujeres	2011	68,06
Aragón	Mujeres	2010	68,45
Aragón	Mujeres	2009	67,85
Aragón	Mujeres	2008	67,33
Aragón	Mujeres	2007	65,25
Aragón	Mujeres	2006	61,7
Aragón	Mujeres	2005	60,21
Aragón	Mujeres	2004	57,37
Aragón	Mujeres	2003	54,36
Aragón	Mujeres	2002	51,11
Aragón	Mujeres	2001	49,64
Aragón	Mujeres	2000	47,73
Aragón	Mujeres	1999	47,26
Aragón	Mujeres	1998	46,7
Aragón	Mujeres	1997	44,32
Aragón	Mujeres	1996	44,04
Aragón	Mujeres	1995	44,97
Aragón	Mujeres	1994	44,54
Aragón	Mujeres	1993	42,61
Aragón	Mujeres	1992	41,48
Aragón	Mujeres	1991	40,81
Aragón	Mujeres	1990	39,86
Aragón	Mujeres	1989	36,99
Aragón	Mujeres	1988	37,54
Aragón	Mujeres	1987	34,65
Aragón	Mujeres	1986	32,7
Aragón	Mujeres	1985	30,67
Aragón	Mujeres	1984	31,92
Aragón	Mujeres	1983	31,76
Aragón	Mujeres	1982	29,85
Aragón	Mujeres	1981	29,68
Aragón	Mujeres	1980	31,61
Aragón	Mujeres	1979	31,36
Aragón	Mujeres	1978	31,43
Aragón	Mujeres	1977	31,54
Asturias (Principado de)	Ambos sexos	2029	65,47
Asturias (Principado de)	Ambos sexos	2028	65,68
Asturias (Principado de)	Ambos sexos	2027	66
Asturias (Principado de)	Ambos sexos	2026	66,31
Asturias (Principado de)	Ambos sexos	2025	66,57
Asturias (Principado de)	Ambos sexos	2024	66,89
Asturias (Principado de)	Ambos sexos	2023	67,12
Asturias (Principado de)	Ambos sexos	2022	67,32
Asturias (Principado de)	Ambos sexos	2021	67,48
Asturias (Principado de)	Ambos sexos	2020	67,62
Asturias (Principado de)	Ambos sexos	2019	67,69
Asturias (Principado de)	Ambos sexos	2018	67,63
Asturias (Principado de)	Ambos sexos	2017	67,71
Asturias (Principado de)	Ambos sexos	2016	67,68
Asturias (Principado de)	Ambos sexos	2015	69,25
Asturias (Principado de)	Ambos sexos	2014	69,81
Asturias (Principado de)	Ambos sexos	2013	69,88
Asturias (Principado de)	Ambos sexos	2012	68,77
Asturias (Principado de)	Ambos sexos	2011	68,41
Asturias (Principado de)	Ambos sexos	2010	68,16
Asturias (Principado de)	Ambos sexos	2009	68,64
Asturias (Principado de)	Ambos sexos	2008	67,22
Asturias (Principado de)	Ambos sexos	2007	65,68
Asturias (Principado de)	Ambos sexos	2006	64,28
Asturias (Principado de)	Ambos sexos	2005	61,59
Asturias (Principado de)	Ambos sexos	2004	61,54
Asturias (Principado de)	Ambos sexos	2003	59,14
Asturias (Principado de)	Ambos sexos	2002	56,55
Asturias (Principado de)	Ambos sexos	2001	55,28
Asturias (Principado de)	Ambos sexos	2000	55,9
Asturias (Principado de)	Ambos sexos	1999	54,04
Asturias (Principado de)	Ambos sexos	1998	52,85
Asturias (Principado de)	Ambos sexos	1997	53,92
Asturias (Principado de)	Ambos sexos	1996	53,68
Asturias (Principado de)	Ambos sexos	1995	53,92
Asturias (Principado de)	Ambos sexos	1994	54,31
Asturias (Principado de)	Ambos sexos	1993	55,07
Asturias (Principado de)	Ambos sexos	1992	55,09
Asturias (Principado de)	Ambos sexos	1991	56,87
Asturias (Principado de)	Ambos sexos	1990	57,09
Asturias (Principado de)	Ambos sexos	1989	57,32
Asturias (Principado de)	Ambos sexos	1988	58,18
Asturias (Principado de)	Ambos sexos	1987	56,84
Asturias (Principado de)	Ambos sexos	1986	56,12
Asturias (Principado de)	Ambos sexos	1985	55,82
Asturias (Principado de)	Ambos sexos	1984	55,45
Asturias (Principado de)	Ambos sexos	1983	56,12
Asturias (Principado de)	Ambos sexos	1982	57,2
Asturias (Principado de)	Ambos sexos	1981	57,71
Asturias (Principado de)	Ambos sexos	1980	58,31
Asturias (Principado de)	Ambos sexos	1979	58,84
Asturias (Principado de)	Ambos sexos	1978	58,27
Asturias (Principado de)	Ambos sexos	1977	58,97
Asturias (Principado de)	Varones	2029	66,86
Asturias (Principado de)	Varones	2028	67,11
Asturias (Principado de)	Varones	2027	67,44
Asturias (Principado de)	Varones	2026	67,73
Asturias (Principado de)	Varones	2025	68,08
Asturias (Principado de)	Varones	2024	68,48
Asturias (Principado de)	Varones	2023	68,92
Asturias (Principado de)	Varones	2022	69,32
Asturias (Principado de)	Varones	2021	69,71
Asturias (Principado de)	Varones	2020	70,21
Asturias (Principado de)	Varones	2019	70,64
Asturias (Principado de)	Varones	2018	70,98
Asturias (Principado de)	Varones	2017	71,48
Asturias (Principado de)	Varones	2016	71,84
Asturias (Principado de)	Varones	2015	72,62
Asturias (Principado de)	Varones	2014	73,86
Asturias (Principado de)	Varones	2013	74,7
Asturias (Principado de)	Varones	2012	74,39
Asturias (Principado de)	Varones	2011	73,8
Asturias (Principado de)	Varones	2010	74,18
Asturias (Principado de)	Varones	2009	75,24
Asturias (Principado de)	Varones	2008	75,23
Asturias (Principado de)	Varones	2007	74,34
Asturias (Principado de)	Varones	2006	74,8
Asturias (Principado de)	Varones	2005	73,04
Asturias (Principado de)	Varones	2004	72,94
Asturias (Principado de)	Varones	2003	71,5
Asturias (Principado de)	Varones	2002	69,67
Asturias (Principado de)	Varones	2001	69,45
Asturias (Principado de)	Varones	2000	68,73
Asturias (Principado de)	Varones	1999	67,38
Asturias (Principado de)	Varones	1998	66,56
Asturias (Principado de)	Varones	1997	67,98
Asturias (Principado de)	Varones	1996	67,57
Asturias (Principado de)	Varones	1995	68,18
Asturias (Principado de)	Varones	1994	68,45
Asturias (Principado de)	Varones	1993	70,28
Asturias (Principado de)	Varones	1992	71,78
Asturias (Principado de)	Varones	1991	72,94
Asturias (Principado de)	Varones	1990	72,84
Asturias (Principado de)	Varones	1989	74,24
Asturias (Principado de)	Varones	1988	74,97
Asturias (Principado de)	Varones	1987	74,77
Asturias (Principado de)	Varones	1986	75,84
Asturias (Principado de)	Varones	1985	77,08
Asturias (Principado de)	Varones	1984	77,3
Asturias (Principado de)	Varones	1983	78,08
Asturias (Principado de)	Varones	1982	79,41
Asturias (Principado de)	Varones	1981	80,03
Asturias (Principado de)	Varones	1980	80,4
Asturias (Principado de)	Varones	1979	80,17
Asturias (Principado de)	Varones	1978	81,21
Asturias (Principado de)	Varones	1977	82,53
Asturias (Principado de)	Mujeres	2029	64,1
Asturias (Principado de)	Mujeres	2028	64,28
Asturias (Principado de)	Mujeres	2027	64,59
Asturias (Principado de)	Mujeres	2026	64,91
Asturias (Principado de)	Mujeres	2025	65,09
Asturias (Principado de)	Mujeres	2024	65,32
Asturias (Principado de)	Mujeres	2023	65,36
Asturias (Principado de)	Mujeres	2022	65,36
Asturias (Principado de)	Mujeres	2021	65,28
Asturias (Principado de)	Mujeres	2020	65,09
Asturias (Principado de)	Mujeres	2019	64,8
Asturias (Principado de)	Mujeres	2018	64,34
Asturias (Principado de)	Mujeres	2017	64
Asturias (Principado de)	Mujeres	2016	63,58
Asturias (Principado de)	Mujeres	2015	65,93
Asturias (Principado de)	Mujeres	2014	65,82
Asturias (Principado de)	Mujeres	2013	65,13
Asturias (Principado de)	Mujeres	2012	63,22
Asturias (Principado de)	Mujeres	2011	63,07
Asturias (Principado de)	Mujeres	2010	62,19
Asturias (Principado de)	Mujeres	2009	62,11
Asturias (Principado de)	Mujeres	2008	59,3
Asturias (Principado de)	Mujeres	2007	57,14
Asturias (Principado de)	Mujeres	2006	53,92
Asturias (Principado de)	Mujeres	2005	50,31
Asturias (Principado de)	Mujeres	2004	50,3
Asturias (Principado de)	Mujeres	2003	46,97
Asturias (Principado de)	Mujeres	2002	43,65
Asturias (Principado de)	Mujeres	2001	41,35
Asturias (Principado de)	Mujeres	2000	43,28
Asturias (Principado de)	Mujeres	1999	40,93
Asturias (Principado de)	Mujeres	1998	39,36
Asturias (Principado de)	Mujeres	1997	40,09
Asturias (Principado de)	Mujeres	1996	40,04
Asturias (Principado de)	Mujeres	1995	39,91
Asturias (Principado de)	Mujeres	1994	40,4
Asturias (Principado de)	Mujeres	1993	40,11
Asturias (Principado de)	Mujeres	1992	38,69
Asturias (Principado de)	Mujeres	1991	41,09
Asturias (Principado de)	Mujeres	1990	41,61
Asturias (Principado de)	Mujeres	1989	40,68
Asturias (Principado de)	Mujeres	1988	41,66
Asturias (Principado de)	Mujeres	1987	39,18
Asturias (Principado de)	Mujeres	1986	36,7
Asturias (Principado de)	Mujeres	1985	34,9
Asturias (Principado de)	Mujeres	1984	33,96
Asturias (Principado de)	Mujeres	1983	34,53
Asturias (Principado de)	Mujeres	1982	35,37
Asturias (Principado de)	Mujeres	1981	35,79
Asturias (Principado de)	Mujeres	1980	36,65
Asturias (Principado de)	Mujeres	1979	37,97
Asturias (Principado de)	Mujeres	1978	35,87
Asturias (Principado de)	Mujeres	1977	36,02
Balears (Illes)	Ambos sexos	2029	78,53
Balears (Illes)	Ambos sexos	2028	78,59
Balears (Illes)	Ambos sexos	2027	78,74
Balears (Illes)	Ambos sexos	2026	78,93
Balears (Illes)	Ambos sexos	2025	79,09
Balears (Illes)	Ambos sexos	2024	79,37
Balears (Illes)	Ambos sexos	2023	79,56
Balears (Illes)	Ambos sexos	2022	79,72
Balears (Illes)	Ambos sexos	2021	79,95
Balears (Illes)	Ambos sexos	2020	80,12
Balears (Illes)	Ambos sexos	2019	80,25
Balears (Illes)	Ambos sexos	2018	80,39
Balears (Illes)	Ambos sexos	2017	80,37
Balears (Illes)	Ambos sexos	2016	80,34
Balears (Illes)	Ambos sexos	2015	78,93
Balears (Illes)	Ambos sexos	2014	78,38
Balears (Illes)	Ambos sexos	2013	80,33
Balears (Illes)	Ambos sexos	2012	79,08
Balears (Illes)	Ambos sexos	2011	78,05
Balears (Illes)	Ambos sexos	2010	78,59
Balears (Illes)	Ambos sexos	2009	77,49
Balears (Illes)	Ambos sexos	2008	76,38
Balears (Illes)	Ambos sexos	2007	76,23
Balears (Illes)	Ambos sexos	2006	75,26
Balears (Illes)	Ambos sexos	2005	75,1
Balears (Illes)	Ambos sexos	2004	75
Balears (Illes)	Ambos sexos	2003	74,22
Balears (Illes)	Ambos sexos	2002	71,49
Balears (Illes)	Ambos sexos	2001	70,43
Balears (Illes)	Ambos sexos	2000	69,81
Balears (Illes)	Ambos sexos	1999	67,24
Balears (Illes)	Ambos sexos	1998	67,88
Balears (Illes)	Ambos sexos	1997	67,88
Balears (Illes)	Ambos sexos	1996	67,22
Balears (Illes)	Ambos sexos	1995	66,38
Balears (Illes)	Ambos sexos	1994	66,53
Balears (Illes)	Ambos sexos	1993	63,11
Balears (Illes)	Ambos sexos	1992	64,63
Balears (Illes)	Ambos sexos	1991	65,01
Balears (Illes)	Ambos sexos	1990	66,03
Balears (Illes)	Ambos sexos	1989	66,53
Balears (Illes)	Ambos sexos	1988	62,63
Balears (Illes)	Ambos sexos	1987	61,33
Balears (Illes)	Ambos sexos	1986	59,75
Balears (Illes)	Ambos sexos	1985	61,26
Balears (Illes)	Ambos sexos	1984	62,8
Balears (Illes)	Ambos sexos	1983	60,81
Balears (Illes)	Ambos sexos	1982	59,51
Balears (Illes)	Ambos sexos	1981	60,38
Balears (Illes)	Ambos sexos	1980	62,33
Balears (Illes)	Ambos sexos	1979	61,77
